1000 50
BOS	0.008	0.009	-0.008	-0.007	0.003	0.006	0.002	0.000	-0.007	0.004	-0.009	0.002	-0.002	-0.002	-0.007	-0.004	0.005	0.006	0.006	0.003	0.003	-0.008	-0.008	0.010	0.008	0.006	-0.001	0.008	-0.001	0.001	-0.000	-0.006	0.003	-0.003	-0.008	0.010	0.009	-0.002	-0.000	0.001	-0.007	-0.008	0.009	0.000	-0.005	-0.006	-0.006	0.003	0.000	0.003
EOS	0.008	0.009	-0.008	-0.007	0.003	0.006	0.002	0.000	-0.007	0.004	-0.009	0.002	-0.002	-0.002	-0.007	-0.004	0.005	0.006	0.006	0.003	0.003	-0.008	-0.008	0.010	0.008	0.006	-0.001	0.008	-0.001	0.001	-0.000	-0.006	0.003	-0.003	-0.008	0.010	0.009	-0.002	-0.000	0.001	-0.007	-0.008	0.009	0.000	-0.005	-0.006	-0.006	0.003	0.000	0.003
the	1.092	-0.689	0.842	1.841	1.459	-1.328	-0.646	-1.451	2.781	-0.873	0.804	1.986	-0.089	-2.177	-2.244	1.268	1.191	-2.183	-0.852	0.082	-0.895	-0.937	-2.849	0.492	0.700	-2.953	-0.390	0.803	-0.220	0.575	0.928	0.655	-0.138	0.484	-0.758	-0.854	-0.715	0.185	-1.759	1.405	-0.846	-1.639	0.275	-1.431	0.937	0.175	1.101	-0.782	0.282	-0.468
of	0.699	-0.926	0.786	1.789	0.092	-1.509	-2.074	-1.658	1.208	0.164	1.763	1.951	0.658	0.138	-1.937	2.510	0.702	-3.924	-0.915	0.301	-0.797	-0.092	-1.380	0.717	-0.421	-3.038	-1.508	1.359	-1.156	0.489	1.653	-0.084	0.914	-0.191	-0.629	-1.280	-0.268	0.610	-1.549	1.001	-1.350	-1.604	-0.473	-0.317	1.984	1.209	0.090	-0.739	0.463	-0.353
and	1.511	0.100	-0.044	1.741	-1.076	-1.462	-0.803	-1.154	1.568	-0.571	1.103	0.513	0.048	1.115	0.601	0.307	0.501	-1.069	-1.344	-0.044	-1.130	-0.717	-0.841	0.824	0.274	-1.397	-1.133	-0.234	-0.165	1.091	0.689	-0.411	1.148	-1.419	-0.463	-1.225	-0.973	-0.540	0.366	-0.440	0.144	-1.665	0.079	-1.237	0.832	0.198	0.639	-0.442	-0.889	-0.288
one	0.253	-1.578	-2.304	0.262	-1.560	1.222	1.315	-0.218	0.636	3.026	0.096	1.677	2.332	-2.238	-1.560	-0.585	4.217	1.124	-0.059	-0.979	-1.293	-1.345	-0.861	-2.245	-2.539	2.815	-0.383	0.156	-1.837	0.185	2.902	0.585	-1.129	1.177	-0.913	5.960	-0.068	-1.351	-1.376	-1.430	-1.684	-0.585	-3.177	0.394	4.047	-3.128	-4.556	-0.629	1.102	-2.642
in	-0.142	-0.987	0.669	0.796	0.251	-1.166	-0.815	-1.438	1.436	0.105	2.125	1.262	-0.093	-2.381	-1.205	1.306	2.020	-0.969	-1.844	-0.803	-0.746	-2.054	-1.933	-0.085	0.485	-2.272	-0.320	0.171	-0.335	1.608	1.902	-0.633	0.520	0.140	-1.108	0.393	-0.320	-0.187	-0.634	0.515	-0.405	-1.856	-0.404	-1.599	2.012	0.304	0.635	-0.563	-0.510	-1.175
to	-0.370	2.330	0.123	1.444	1.594	-1.194	1.243	-1.759	3.158	-3.402	0.986	0.986	0.018	-0.396	-0.843	0.081	-2.903	0.110	0.321	-1.476	0.438	-1.334	-3.350	-0.271	0.186	-1.000	0.559	0.285	1.150	1.183	-3.075	0.807	-0.970	-2.014	0.157	-3.682	-0.730	-0.978	-0.798	1.159	1.241	-3.026	0.973	-1.997	-0.399	0.671	4.497	-1.482	0.027	0.524
a	0.404	0.514	2.726	1.497	1.430	0.081	-0.336	-1.563	2.135	-1.601	-0.547	2.209	-0.814	-0.653	-0.756	0.086	0.931	0.452	0.728	-0.304	0.335	-0.877	-1.207	0.647	-0.313	-2.137	-0.906	0.321	-0.073	0.251	0.231	0.799	0.444	0.477	-2.388	-1.225	0.524	-0.075	0.105	2.097	-1.410	-1.349	2.416	-1.466	-0.261	1.588	2.020	-0.074	1.043	-0.470
OOL	-0.411	-2.857	1.311	1.982	-0.498	0.946	-1.762	-0.959	-0.995	1.880	-0.927	0.475	0.566	1.773	2.753	-0.263	1.979	0.634	-1.677	1.775	0.835	1.768	2.341	-1.165	-0.466	3.512	-2.780	-1.361	0.767	-1.387	-0.508	-0.579	0.419	1.477	0.009	1.216	-1.464	-1.805	0.751	-0.392	-0.372	1.062	-1.547	-0.125	-0.694	-1.183	-2.386	2.667	0.158	0.731
